torq, px, py, theta, theta_dot, theta_dd, fitness, delta_theta, force, cx, x_dot, x_dd
0, -0.133106, 0.991102, 97.6491, -0.00586924, -0.00122373, 21.5574, 7.64913, 3.97377, -25.8811, 2.67247, 1.325
0, -0.132512, 0.991181, 97.6148, -0.00599473, -0.0012549, 21.4758, 7.61478, 3.95628, -25.6006, 2.80439, 1.31918
0, -0.131905, 0.991262, 97.5797, -0.00612344, -0.00128708, 21.3925, 7.5797, 3.93842, -25.3071, 2.93571, 1.31323
0, -0.131285, 0.991345, 97.5439, -0.00625547, -0.0013203, 21.3075, 7.54385, 3.92018, -25.0004, 3.06643, 1.30716
0, -0.130651, 0.991428, 97.5072, -0.00639093, -0.00135462, 21.2206, 7.50724, 3.90155, -24.6808, 3.19653, 1.30096
0, -0.130004, 0.991513, 97.4698, -0.00652994, -0.00139009, 21.1319, 7.46982, 3.88252, -24.3482, 3.32599, 1.29463
0, -0.129342, 0.9916, 97.4316, -0.00667261, -0.00142674, 21.0414, 7.43159, 3.86308, -24.0027, 3.45481, 1.28817
0, -0.128666, 0.991688, 97.3925, -0.00681908, -0.00146463, 20.9489, 7.39252, 3.84322, -23.6444, 3.58296, 1.28156
0, -0.127975, 0.991777, 97.3526, -0.00696946, -0.00150382, 20.8545, 7.35259, 3.82293, -23.2733, 3.71044, 1.27481
0, -0.127268, 0.991868, 97.3118, -0.0071239, -0.00154436, 20.758, 7.31177, 3.80219, -22.8896, 3.83724, 1.26791
0, -0.126546, 0.991961, 97.27, -0.00728253, -0.00158632, 20.6595, 7.27005, 3.78101, -22.4933, 3.96332, 1.26086
0, -0.125807, 0.992055, 97.2274, -0.0074455, -0.00162975, 20.5588, 7.22739, 3.75936, -22.0844, 4.08869, 1.25366
0, -0.125052, 0.99215, 97.1838, -0.00761297, -0.00167472, 20.456, 7.18377, 3.73722, -21.6631, 4.21332, 1.2463
0, -0.12428, 0.992247, 97.1392, -0.00778511, -0.00172131, 20.3509, 7.13916, 3.7146, -21.2294, 4.33719, 1.23877
0, -0.12349, 0.992346, 97.0935, -0.00796206, -0.00176959, 20.2436, 7.09354, 3.69147, -20.7833, 4.4603, 1.23108
0, -0.122681, 0.992446, 97.0469, -0.00814403, -0.00181964, 20.1338, 7.04688, 3.66783, -20.3251, 4.58262, 1.22321
0, -0.121855, 0.992548, 96.9991, -0.00833118, -0.00187154, 20.0217, 6.99915, 3.64364, -19.8547, 4.70414, 1.21517
0, -0.121009, 0.992651, 96.9503, -0.00852372, -0.00192539, 19.907, 6.95031, 3.61892, -19.3722, 4.82484, 1.20695
0, -0.120143, 0.992757, 96.9003, -0.00872185, -0.00198127, 19.7899, 6.90034, 3.59362, -18.8777, 4.94469, 1.19853
0, -0.119257, 0.992863, 96.8492, -0.00892578, -0.00203929, 19.67, 6.8492, 3.56775, -18.3713, 5.06368, 1.18993
0, -0.118349, 0.992972, 96.7969, -0.00913573, -0.00209955, 19.5475, 6.79685, 3.54128, -17.8532, 5.18179, 1.18113
0, -0.117421, 0.993082, 96.7433, -0.00935195, -0.00216217, 19.4223, 6.74327, 3.5142, -17.3233, 5.29901, 1.17212
0, -0.11647, 0.993194, 96.6884, -0.00957467, -0.00222726, 19.2941, 6.68841, 3.48648, -16.7817, 5.4153, 1.1629
0, -0.115496, 0.993308, 96.6322, -0.00980417, -0.00229496, 19.1631, 6.63224, 3.45812, -16.2287, 5.53064, 1.15347
0, -0.114499, 0.993423, 96.5747, -0.0100407, -0.00236539, 19.0249, 6.57471, 3.42908, -15.6642, 5.64502, 1.14381
0, -0.113477, 0.993541, 96.5158, -0.0102846, -0.00243871, 18.8634, 6.51578, 3.39936, -15.0883, 5.75842, 1.13393
0, -0.11243, 0.99366, 96.4554, -0.0105361, -0.00251507, 18.6979, 6.45541, 3.36892, -14.5012, 5.8708, 1.12381
0, -0.111357, 0.99378, 96.3936, -0.0107956, -0.00259463, 18.5283, 6.39356, 3.33775, -13.903, 5.98214, 1.11345
0, -0.110258, 0.993903, 96.3302, -0.0110633, -0.00267757, 18.3545, 6.33017, 3.30582, -13.2938, 6.09243, 1.10283
0, -0.109131, 0.994027, 96.2652, -0.0113397, -0.00276407, 18.1764, 6.2652, 3.27312, -12.6736, 6.20162, 1.09196
0, -0.107975, 0.994154, 96.1986, -0.0116251, -0.00285433, 17.9938, 6.19859, 3.23961, -12.0427, 6.3097, 1.08082
0, -0.10679, 0.994282, 96.1303, -0.01192, -0.00294857, 17.8066, 6.1303, 3.20527, -11.401, 6.41664, 1.06941
0, -0.105574, 0.994411, 96.0603, -0.0122247, -0.00304702, 17.6145, 6.06025, 3.17008, -10.7488, 6.52242, 1.05771
0, -0.104327, 0.994543, 95.9884, -0.0125397, -0.00314993, 17.4176, 5.98841, 3.134, -10.0861, 6.62699, 1.04572
